block_group,lat,lon,population,vehicles,renter_share,demand_A,demand_B,demand
060855104003,37.38692771308671,-122.10547467792867,824,246,0.0421455938697318,24.6,14.891954022988505,24.6
060855092014,37.405729506507896,-122.07357044429307,1661,591,0.4320809248554913,59.1,93.38995664739883,59.1
060855092021,37.40063471410583,-122.08497277755377,1742,946,0.5402597402597402,94.60000000000001,175.07142857142856,94.60000000000001
060855092022,37.40487024300041,-122.08251883085225,988,369,0.15501519756838905,36.9,32.75015197568389,36.9
060855092023,37.41052316717752,-122.08241716360216,803,359,0.6638888888888889,35.9,77.53402777777778,35.9
060855092024,37.40577293520192,-122.08750915274383,604,233,0.12980769230769232,23.3,19.21129807692308,23.3
060855093032,37.40484323525488,-122.09049948271642,708,479,0.6071428571428571,47.900000000000006,96.65535714285714,47.900000000000006
060855094031,37.399825569140226,-122.09579903178968,1979,1145,0.8542825361512792,114.5,301.7883759733037,114.5
060855094042,37.40201901911806,-122.10075570265246,1021,380,0.5364705882352941,38.0,69.96470588235294,38.0
060855094043,37.39847676481199,-122.10311708210884,1557,1021,0.8391891891891892,102.10000000000001,265.2530405405405,102.10000000000001
060855107003,37.412329783052826,-122.12114279534553,2322,1178,0.25430597771023306,117.80000000000001,133.79311043566364,117.80000000000001
060855095002,37.393664552405845,-122.0931173419586,2274,759,0.9102990033222591,75.9,210.67923588039866,75.9
060855095001,37.39739480724246,-122.0884745673258,1622,1059,0.9292267365661862,105.9,298.96277850589775,105.9
060855096002,37.39267710176372,-122.08231551599481,1286,667,0.605427974947808,66.7,134.30511482254695,66.7
060855097002,37.388016145400364,-122.07063490652706,733,584,0.7754569190600522,58.400000000000006,142.41671018276762,58.400000000000006
060855108022,37.4139006782933,-122.10872198389951,1107,410,0.34532374100719426,41.0,55.89568345323741,41.0
060855097001,37.386882414514375,-122.07686804080932,1241,531,0.5032119914346895,53.1,93.35139186295503,53.1
060855098013,37.384166696307005,-122.09014882391998,1635,749,0.23978685612788633,74.9,82.35008880994673,74.9
060855098021,37.3816520388859,-122.08231535656518,1434,704,0.5947281713344317,70.4,139.87215815485996,70.4
060855098022,37.3763385545479,-122.08233817457372,1724,439,0.30528375733855184,43.900000000000006,55.45489236790606,43.900000000000006
060855099011,37.368967016600664,-122.08424089998661,1368,502,0.08857808857808858,50.2,36.21655011655012,50.2
060855099012,37.370898376226855,-122.09256282896229,1104,353,0.14697406340057637,35.300000000000004,30.620461095100865,35.300000000000004
060855099021,37.374224206770855,-122.07170900987308,2168,926,0.47073170731707314,92.60000000000001,155.27439024390242,92.60000000000001
060855099022,37.36867405662203,-122.07307523792784,1509,681,0.09541984732824428,68.10000000000001,50.295229007633594,68.10000000000001
060855099023,37.36350169974761,-122.07112508976394,1480,478,0.1031390134529148,47.800000000000004,36.225112107623325,47.800000000000004
060855100011,37.35659120799153,-122.06537700121856,1166,273,0.041025641025641026,27.3,16.450000000000003,27.3
060855100012,37.356697307581776,-122.07321774154339,1494,379,0.0273109243697479,37.9,21.537710084033613,37.9
060855100013,37.355990574050914,-122.08236643104071,1154,506,0.1876484560570071,50.6,49.037529691211404,50.6
060855100015,37.36395060461621,-122.09188599361453,620,274,0.0,27.400000000000002,13.700000000000001,27.400000000000002
060855100016,37.362255033631776,-122.08235892103724,669,126,0.05063291139240506,12.600000000000001,7.89493670886076,12.600000000000001
060855084014,37.35452359468805,-122.05655232040347,750,266,0.05263157894736842,26.6,16.8,26.6
060855084015,37.363342728563495,-122.05996685613108,2032,543,0.22102009273570325,54.300000000000004,57.153477588871716,54.300000000000004
060855102001,37.37944680121993,-122.09748618649492,1398,518,0.09320388349514563,51.800000000000004,37.969902912621365,51.800000000000004
060855093041,37.419005448916366,-122.09607465178678,1455,516,0.5449330783938815,51.6,96.09636711281071,51.6
060855093021,37.40758139584626,-122.10001114328843,1416,600,0.3421985815602837,60.0,81.32978723404256,60.0
060855094011,37.4091324665925,-122.11301106285103,1835,1107,0.6822633297062024,110.7,244.1663764961915,110.7
060855094044,37.40172481619366,-122.10845987122863,2315,1532,0.8848,153.20000000000002,415.47839999999997,153.20000000000002
060855047001,37.41627995295858,-122.05047400499139,667,110,1.0,11.0,33.0,11.0
060855093034,37.403965712347194,-122.09475109643238,827,567,0.9523809523809523,56.7,163.35,56.7
060855093031,37.40945232903258,-122.09125248552758,1605,729,0.49829931972789115,72.9,127.26505102040817,72.9
060855098011,37.39005449144056,-122.09419845234744,1209,1224,0.7364341085271318,122.4,286.54883720930235,122.4
060855094032,37.39724816306311,-122.09897890542534,1586,757,0.9584775086505191,75.7,219.24186851211073,75.7
060855091071,37.383015750413065,-122.05550334390256,1990,1182,0.9941792782305006,118.2,352.87997671711287,118.2
060855046011,37.44487648341221,-122.08623767056059,1255,500,0.3574144486692015,50.0,69.67680608365019,50.0
