block_group,lat,lon,HCVI_norm,c1_renter,c2_income,c3_multifamily,c4_zero_vehicle,high_vulnerability
060855099023,37.36350169974761,-122.07112508976394,0.07202058674595836,0.1031390134529148,0.0,0.0,0.1726457399103139,False
060855100011,37.35659120799153,-122.06537700121856,0.18168181779013057,0.041025641025641026,0.6136536208617174,0.0,0.041025641025641026,False
060855100012,37.356697307581776,-122.07321774154339,0.033262806922583134,0.0273109243697479,0.0,0.04123711340206182,0.058823529411764705,False
060855100013,37.355990574050914,-122.08236643104071,0.10359070239291794,0.1876484560570071,0.0,0.02137767220902609,0.1876484560570071,False
060855100015,37.36395060461621,-122.09188599361453,0.0,0.0,0.0,0.0,0.0,False
060855100016,37.362255033631776,-122.08235892103724,0.026445348719726196,0.05063291139240506,0.0,0.0,0.05063291139240506,False
060855084014,37.35452359468805,-122.05655232040347,0.10995697625570365,0.05263157894736842,0.0,0.24291497975708498,0.12550607287449392,False
060855084015,37.363342728563495,-122.05996685613108,0.24910775969931645,0.22102009273570325,0.43666746214257823,0.07518796992481203,0.22102009273570325,False
060855102001,37.37944680121993,-122.09748618649492,0.10327218361878965,0.09320388349514563,0.13164403176118367,0.01526717557251911,0.1553398058252427,False
060855093041,37.419005448916366,-122.09607465178678,0.6218254114455294,0.5449330783938815,0.5340879507094198,0.75717017208413,0.5449330783938815,False
060855093021,37.40758139584626,-122.10001114328843,0.21354853535759752,0.3421985815602837,0.0,0.1333333333333333,0.3421985815602837,False
060855094011,37.4091324665925,-122.11301106285103,0.8080030191755339,0.6822633297062024,0.7725734368898338,0.9427987742594484,0.6964091403699674,True
060855094044,37.40172481619366,-122.10845987122863,0.8637423564813509,0.8848,0.5745487482101792,0.9633357296908699,0.8848,True
060855047001,37.41627995295858,-122.05047400499139,0.9114460797910547,1.0,0.7135581637523322,0.7765957446808511,1.0,True
060855093034,37.403965712347194,-122.09475109643238,0.882217732791723,0.9523809523809523,0.5,0.9734693877551021,0.9523809523809523,True
060855093031,37.40945232903258,-122.09125248552758,0.49389561006425653,0.49829931972789115,0.0,0.8742424242424243,0.5187074829931972,False
060855098011,37.39005449144056,-122.09419845234744,0.8149179118047821,0.7364341085271318,0.7224476070638262,0.9074889867841409,0.7541528239202658,True
060855094032,37.39724816306311,-122.09897890542534,0.9424619599500701,0.9584775086505191,0.6919664164533346,1.0,0.9584775086505191,True
060855091071,37.383015750413065,-122.05550334390256,1.0,0.9941792782305006,0.8408903544929925,1.0,0.9941792782305006,True
060855046011,37.44487648341221,-122.08623767056059,0.6999501743346322,0.3574144486692015,1.0,0.9654545454545455,0.3574144486692015,False
060855098012,37.390242327956635,-122.10077088998011,0.22557989543821955,0.1657754010695187,0.2434807133249447,0.2887700534759359,0.1657754010695187,False
060855093033,37.406516298610505,-122.09259625136751,0.7302677481172035,0.6902985074626866,0.548184145441923,0.867595818815331,0.6902985074626866,False
060855091093,37.39036452506881,-122.06509345181192,0.681652174419661,0.7022292993630573,0.25603657742873254,0.9497206703910615,0.7022292993630573,False
060855091111,37.38216188443495,-122.05913031174887,0.7249242131429434,0.6532180595581172,0.49733696359612967,0.9269932756964457,0.6983669548511047,False
060855091023,37.38609837045201,-122.04639471102199,0.7594633739615013,0.8227848101265823,0.2626046773983599,1.0,0.8227848101265823,False
060855094033,37.395478641563265,-122.09752630481113,0.9802020711505699,0.9646017699115044,0.8242341736451599,1.0,0.9646017699115044,True
060855096003,37.39129748021291,-122.07681968170587,0.5341478857752752,0.6410256410256411,0.21325443658610665,0.5500794912559619,0.6410256410256411,False
060855108014,37.424763452453384,-122.10498998882466,0.5660435970407057,0.6220095693779905,0.25886232481450944,0.6311475409836065,0.6555023923444976,False
060855091102,37.37459059334389,-122.06561078762695,0.8432649524142969,0.9914285714285714,0.2462142578209745,1.0,0.9914285714285714,True
060855091092,37.39586510240288,-122.06561495076738,0.6932813262433157,0.5658042744656918,0.5702314834902591,0.9416581371545547,0.5770528683914511,False
060855091112,37.381905099837965,-122.06463759368631,0.6261147647712094,0.5522875816993464,0.5045721785915738,0.737748344370861,0.6029411764705882,False
060855093022,37.41134512461937,-122.1014532347167,0.549628574541213,0.4332425068119891,0.5830531088644944,0.6551264980026631,0.4332425068119891,False
060855091101,37.371786990101974,-122.0620967812726,0.6770148468012788,0.6682464454976303,0.4000032542196381,0.8559622195985832,0.6682464454976303,False
