site_id,lat,lon,c_j
J52,37.37125425114718,-122.09392085296476,50000
J53,37.370629071828326,-122.08303880740537,50000
J54,37.38851757822835,-122.08605480181899,50000
J55,37.3903576328957,-122.0801021015234,50000
J56,37.38538019980862,-122.08748039414385,50000
J57,37.38999502600412,-122.06674771664596,50000
J58,37.401264375824866,-122.09479224403503,50000
J59,37.40211927954966,-122.0964447037398,50000
J60,37.40050694903162,-122.09782709614196,50000
J61,37.37607198122853,-122.06561713676727,50000
J62,37.39161568218021,-122.0792484980955,50000
J63,37.39408671823578,-122.08108694193385,50000
J64,37.43250223766161,-122.08755277346737,50000
J65,37.372349622483824,-122.08775370634105,50000
J66,37.43174969778464,-122.08361015643611,50000
J67,37.426726887031116,-122.07023500134345,50000
J68,37.4242080748814,-122.07890933823258,50000
J69,37.42525687262078,-122.07144263530101,50000
J70,37.427899089443976,-122.07136911496261,50000
J71,37.408708536085754,-122.06452987306731,50000
J72,37.39644069578007,-122.10117321888859,50000
J73,37.39585491779164,-122.09929381179245,50000
J74,37.394365615595426,-122.09623197021475,50000
J75,37.394028954963105,-122.09561671286187,50000
J76,37.394382183432555,-122.0954408976305,50000
J77,37.39606252152276,-122.10136785477206,50000
J78,37.3964241737344,-122.10231537628859,50000
J79,37.39453316266187,-122.05420108665398,50000
J80,37.39851254321449,-122.05611191928251,50000
J81,37.397180415142884,-122.05225169960126,50000
J82,37.39734607109,-122.05483560237921,50000
J83,37.40368178367682,-122.05575405696815,50000
J84,37.402309318141356,-122.0558407672822,50000
J85,37.40005923603336,-122.04811429529752,50000
J86,37.40293484780956,-122.06660007911546,50000
J87,37.39228538688862,-122.0778181914463,50000
J88,37.422453420185,-122.09699550640681,50000
J89,37.421363698297164,-122.09963277574211,50000
J90,37.42015424075492,-122.09461561094312,50000
J91,37.42036139080086,-122.09875886829523,50000
J92,37.41860701422786,-122.09913176286425,50000
J93,37.42141751038891,-122.09748470092411,50000
J94,37.42060085508597,-122.09753969847378,50000
J95,37.420528080547875,-122.09321363094668,50000
J96,37.41999997229448,-122.0983976454761,50000
J97,37.41987487484991,-122.0975469862737,50000
J98,37.4242076339408,-122.0978462773209,50000
J99,37.4210123341972,-122.10072874373711,50000
J100,37.41427148447168,-122.09319318261747,50000
J101,37.41411300765847,-122.08957073737585,50000
J102,37.4225973111463,-122.08894023454259,50000
J103,37.4232150666087,-122.08867359148064,50000
J104,37.41829081713823,-122.09025114895086,50000
J105,37.41785373816101,-122.0917860031524,50000
J106,37.418611048105234,-122.09184883647465,50000
J107,37.42078530860246,-122.09113613867964,50000
J108,37.4212623369787,-122.0913814581394,50000
J109,37.421476191499984,-122.08955954100836,50000
J110,37.421800727611036,-122.09097568530012,50000
J111,37.42301692411809,-122.09064715439717,50000
J112,37.42232258902325,-122.08979557675575,50000
J113,37.41940021610836,-122.08609825225422,50000
J114,37.41967609857111,-122.08565737048201,50000
J115,37.42040730868584,-122.08565819541015,50000
J116,37.420696566918565,-122.0860427976573,50000
J117,37.41999433147127,-122.08647317752558,50000
J118,37.41742912934734,-122.08566716524433,50000
J119,37.416929868413376,-122.08601705603492,50000
J120,37.4183543316475,-122.08566858970411,50000
J121,37.41822464864923,-122.08636138984224,50000
J122,37.42053048664033,-122.083527401067,50000
J123,37.42059154697613,-122.08473022656536,50000
J124,37.41947665763995,-122.08436544370613,50000
J125,37.41731907555037,-122.08346143804056,50000
J126,37.4174044694872,-122.08482806240991,50000
J127,37.41813019838807,-122.08204161489006,50000
J128,37.41976790466485,-122.08262380231652,50000
J129,37.41951363903495,-122.0817935280811,50000
J130,37.41715799231666,-122.08079499675708,50000
J131,37.41761761644758,-122.08148789199836,50000
J132,37.41689235485508,-122.08171477973382,50000
J133,37.41725671033649,-122.08263226606212,50000
J134,37.41907312573469,-122.08007950999817,50000
J135,37.418907059695776,-122.07941506260217,50000
J136,37.41983441037838,-122.07840212621522,50000
J137,37.4200846738847,-122.07926305452035,50000
J138,37.419088463320826,-122.07891396193605,50000
J139,37.41825040642201,-122.07885678769495,50000
J140,37.418686901055935,-122.07900235275007,50000
J141,37.416957798096384,-122.07903625648198,50000
J142,37.417236108914246,-122.0787790064277,50000
J143,37.41740270020639,-122.08017691440224,50000
J144,37.417602019784646,-122.07887543803257,50000
J145,37.416672569268826,-122.07831173242019,50000
J146,37.41671335227856,-122.07917183191829,50000
J147,37.42456676839835,-122.0927418661334,50000
J148,37.42297999089855,-122.09208935515888,50000
J149,37.42310560116223,-122.09327015196573,50000
J150,37.42404035987444,-122.09109807051031,50000
J151,37.424608280575725,-122.09383504082535,50000
J152,37.425705776280694,-122.09631382088253,50000
J153,37.42727993596405,-122.09696355479554,50000
J154,37.42724443036559,-122.09587417444773,50000
J155,37.4248700681909,-122.0952860989879,50000
J156,37.42440376191677,-122.09587546508291,50000
J157,37.42638667474659,-122.095240544702,50000
J158,37.42545028816522,-122.09447840171198,50000
J159,37.4235277422675,-122.09447544695459,50000
J160,37.414206804361065,-122.07635056493352,50000
J161,37.415174594868375,-122.07738066749276,50000
J162,37.420723257507326,-122.07121828352564,50000
J163,37.389136861994814,-122.08091596145852,50000
J164,37.38828225902966,-122.08313215376677,50000
J165,37.39372868853711,-122.07723520211185,50000
J166,37.40537810202709,-122.09721462784884,50000
J167,37.39264993813976,-122.09509600280286,50000
J168,37.39209157743465,-122.08104679050852,50000
J169,37.38900296844845,-122.08254649064862,50000
J170,37.38874050020906,-122.08112189972256,50000
J171,37.38771489301112,-122.08233206929849,50000
J172,37.39122427803919,-122.08236145480691,50000
J173,37.38231719563526,-122.06862588361685,50000
J174,37.400181197156435,-122.06669579471318,50000
J175,37.413974795620334,-122.07949384719348,50000
J176,37.41549082377308,-122.07995837672381,50000
J177,37.42852095692696,-122.07948048475299,50000
J178,37.43186975314275,-122.08753819644487,50000
J179,37.431145717593935,-122.08597529850462,50000
J180,37.43131147706439,-122.08466201308771,50000
J181,37.389834538639974,-122.08391117923144,50000
J182,37.3994170974842,-122.07494155194382,50000
J183,37.38081875949891,-122.07183221202278,50000
J184,37.380780546815636,-122.0712478496092,50000
J185,37.394918536914034,-122.05477696404492,50000
J186,37.39480355623046,-122.05318655157294,50000
