site_id,lat,lon,tier
J387,37.43063432726236,-122.09668245251935,5
J388,37.42921533777226,-122.09708191503675,5
J389,37.43126533726446,-122.09683384949548,5
J390,37.400350781495206,-122.09976570896009,3
J391,37.418523473852886,-122.07256738512493,3
J392,37.418141790111825,-122.07201968677606,3
J393,37.42271138573631,-122.085103921133,5
J394,37.401053696112214,-122.04684137404819,5
J395,37.40195007581848,-122.04744044673244,5
J396,37.40282707658504,-122.04806421330379,5
J397,37.37969476662705,-122.07284217604413,3
J398,37.40135940010756,-122.04724394992363,5
J399,37.40222221462724,-122.04781770944321,5
J400,37.40238396840345,-122.0477614338277,5
J401,37.414517741843646,-122.08884227909142,3
J402,37.41471952889034,-122.08792290471506,3
J403,37.41457056123341,-122.08692503269633,3
J404,37.41371579351819,-122.08693005533164,3
J405,37.41374140399362,-122.0875285976524,5
J406,37.41397275310331,-122.08761777474508,3
J407,37.38796120221427,-122.08784656678637,3
J408,37.388336270208335,-122.08977710930787,3
J409,37.38779625670645,-122.08890035452094,3
J410,37.38766498441557,-122.08944845555138,3
J411,37.41368876182995,-122.08799263865437,3
J412,37.41362183926977,-122.08848625839997,3
J413,37.413696049485964,-122.08943048735135,3
J414,37.414868813115206,-122.08992670074922,3
J415,37.41458965911047,-122.09022830191682,3
J416,37.40428247023711,-122.10976355075431,3
J417,37.414207277910066,-122.09210598556824,3
J418,37.41422013348249,-122.09178471687858,3
J419,37.41415526067007,-122.09136789249418,3
J420,37.41398389850297,-122.09083016822593,5
J421,37.414182273368816,-122.09084203917709,3
J422,37.41399668744902,-122.08990306866096,3
J423,37.41521484172507,-122.09456897060934,3
J424,37.41516485210163,-122.09412269268377,3
J425,37.41502478269427,-122.09374336284333,3
J426,37.41533517954615,-122.09546254600835,5
J427,37.41515779766282,-122.09492957051143,5
J428,37.41526456942219,-122.09571382883288,3
J429,37.41530005059694,-122.09613167079935,3
J430,37.41534599593192,-122.0966168492884,3
J431,37.39425856701563,-122.09765459011847,3
J432,37.393822055874224,-122.09678238265626,3
J433,37.39450009473802,-122.09687516709273,3
J434,37.39590257873249,-122.09859778091653,5
J435,37.39573397983965,-122.09820766069502,5
J436,37.39471491916857,-122.09796749120167,3
J437,37.3950646468951,-122.09766562537581,3
J438,37.3870100530409,-122.08446461822355,3
J439,37.405802405224975,-122.11197486025239,3
J440,37.403816831175725,-122.10618694004879,3
J441,37.38555544731693,-122.06218191670403,3
J442,37.38519460779222,-122.06097485107496,5
J443,37.387358886289846,-122.0611901262131,5
J444,37.40190842489143,-122.10872190456367,3
J445,37.408499339056974,-122.1130521141233,5
J446,37.4089907089447,-122.1136848952835,5
J447,37.40849949252403,-122.11050176998589,5
J448,37.40962765030873,-122.11185557154855,5
J449,37.40778953994632,-122.11080309669808,3
J450,37.40763915664977,-122.11088196809457,3
J451,37.407975951077916,-122.10937889129289,3
J452,37.40615937246017,-122.11098750492648,3
J453,37.40640363586334,-122.11136299674835,3
J454,37.40671514142205,-122.11126304026767,3
J455,37.40654715016727,-122.11171569962481,3
J456,37.399745500011605,-122.10936475014378,3
J457,37.40059239380207,-122.10782323639145,3
J458,37.40001565329065,-122.10895455998062,3
J459,37.39962465305704,-122.10904581609734,3
J460,37.39910598532716,-122.10874369215165,3
J461,37.399603818509405,-122.10826652429093,3
J462,37.40415270003617,-122.11471305001129,5
J463,37.404313977972066,-122.1149106450049,5
J464,37.403718888687756,-122.11574034379787,5
J465,37.40099957078279,-122.11078245826518,3
J466,37.40310913667625,-122.11072353111642,3
J467,37.404437522221414,-122.11404623382096,3
J468,37.40401577846565,-122.11317926564642,3
J469,37.4038742412488,-122.112669217174,3
J470,37.40340730888595,-122.11356022260574,3
J471,37.403268616977755,-122.11334275602508,3
J472,37.40294724382252,-122.11293537968173,3
J473,37.37717322542738,-122.06375496289435,3
J474,37.41539465245738,-122.08298008176503,5
J475,37.42962401721184,-122.07363885879211,3
J476,37.40980734997703,-122.07655105000042,3
J477,37.40918357506998,-122.07644203886059,3
J478,37.409313300051004,-122.07575849999962,3
J479,37.40886432962906,-122.07577274006532,3
J480,37.418331547567654,-122.06501917873253,3
J481,37.40922790821558,-122.06359197716745,3
J482,37.42003109601525,-122.0623784054368,3
J483,37.41932340003845,-122.06314055000315,3
J484,37.4193276015401,-122.0623023000211,3
J485,37.407156730231385,-122.06841741903135,4
J486,37.377591909860314,-122.06413081108985,5
J487,37.40559329991649,-122.06082065014428,5
J488,37.40602308628255,-122.0619108533008,5
J489,37.40571331236991,-122.0620254735031,5
